OBCINA_TIP;Leto;Stevilo.gradbenih.dovoljenj
Bled_Stanovanjske stavbe;2010;4
Bled_Stanovanjske stavbe;2011;13
Bled_Stanovanjske stavbe;2012;14
Bled_Stanovanjske stavbe;2013;13
Bled_Stanovanjske stavbe;2014;6
Bled_Stanovanjske stavbe;2015;12
Bled_Stanovanjske stavbe;2016;10
Bled_Stanovanjske stavbe;2017;8
Bled_Stanovanjske stavbe;2018;18
Bled_Stanovanjske stavbe;2019;11
Bled_Stanovanjske stavbe;2020;10
Bled_Nestanovanjske stavbe;2007;6
Bled_Nestanovanjske stavbe;2008;7
Bled_Nestanovanjske stavbe;2009;1
Bled_Nestanovanjske stavbe;2010;2
Bled_Nestanovanjske stavbe;2011;2
Bled_Nestanovanjske stavbe;2012;0
Bled_Nestanovanjske stavbe;2013;1
Bled_Nestanovanjske stavbe;2014;0
Bled_Nestanovanjske stavbe;2015;3
Bled_Nestanovanjske stavbe;2016;8
Bled_Nestanovanjske stavbe;2017;2
Bled_Nestanovanjske stavbe;2018;15
Bled_Nestanovanjske stavbe;2019;6
Bled_Nestanovanjske stavbe;2020;4
Bloke_Stanovanjske stavbe;2007;6
Bloke_Stanovanjske stavbe;2008;7
Bloke_Stanovanjske stavbe;2009;8
Bloke_Stanovanjske stavbe;2010;5
Bloke_Stanovanjske stavbe;2011;1
Bloke_Stanovanjske stavbe;2012;3
Bloke_Stanovanjske stavbe;2013;4
Bloke_Stanovanjske stavbe;2014;2
Bloke_Stanovanjske stavbe;2015;0
Bloke_Stanovanjske stavbe;2016;3
Bloke_Stanovanjske stavbe;2017;1
Bloke_Stanovanjske stavbe;2018;7
Bloke_Stanovanjske stavbe;2019;3
Bloke_Stanovanjske stavbe;2020;1
Bloke_Nestanovanjske stavbe;2007;8
Bloke_Nestanovanjske stavbe;2008;1
Bloke_Nestanovanjske stavbe;2009;0
Bloke_Nestanovanjske stavbe;2010;1
Bloke_Nestanovanjske stavbe;2011;1
Bloke_Nestanovanjske stavbe;2012;1
Bloke_Nestanovanjske stavbe;2013;0
Bloke_Nestanovanjske stavbe;2014;2
