OBCINE;TIP.STAVBE;Leto;Stevilo.gradbenih.dovoljenj
Bled;Nestanovanjske stavbe;2009;1
Bled;Nestanovanjske stavbe;2010;2
Bled;Nestanovanjske stavbe;2011;2
Bled;Nestanovanjske stavbe;2012;0
Bled;Nestanovanjske stavbe;2013;1
Bled;Nestanovanjske stavbe;2014;0
Bled;Nestanovanjske stavbe;2015;3
Bled;Nestanovanjske stavbe;2016;8
Bled;Nestanovanjske stavbe;2017;2
Bled;Nestanovanjske stavbe;2018;15
Bled;Nestanovanjske stavbe;2019;6
Bled;Nestanovanjske stavbe;2020;4
Bloke;Stanovanjske stavbe;2007;6
Bloke;Stanovanjske stavbe;2008;7
Bloke;Stanovanjske stavbe;2009;8
Bloke;Stanovanjske stavbe;2010;5
Bloke;Stanovanjske stavbe;2011;1
Bloke;Stanovanjske stavbe;2012;3
Bloke;Stanovanjske stavbe;2013;4
Bloke;Stanovanjske stavbe;2014;2
Bloke;Stanovanjske stavbe;2015;0
Bloke;Stanovanjske stavbe;2016;3
Bloke;Stanovanjske stavbe;2017;1
Bloke;Stanovanjske stavbe;2018;7
Bloke;Stanovanjske stavbe;2019;3
Bloke;Stanovanjske stavbe;2020;1
Bloke;Nestanovanjske stavbe;2007;8
Bloke;Nestanovanjske stavbe;2008;1
Bloke;Nestanovanjske stavbe;2009;0
Bloke;Nestanovanjske stavbe;2010;1
Bloke;Nestanovanjske stavbe;2011;1
Bloke;Nestanovanjske stavbe;2012;1
Bloke;Nestanovanjske stavbe;2013;0
Bloke;Nestanovanjske stavbe;2014;2
Bloke;Nestanovanjske stavbe;2015;0
Bloke;Nestanovanjske stavbe;2016;6
Bloke;Nestanovanjske stavbe;2017;12
Bloke;Nestanovanjske stavbe;2018;3
Bloke;Nestanovanjske stavbe;2019;9
Bloke;Nestanovanjske stavbe;2020;0
Bohinj;Stanovanjske stavbe;2007;13
Bohinj;Stanovanjske stavbe;2008;6
Bohinj;Stanovanjske stavbe;2009;7
Bohinj;Stanovanjske stavbe;2010;12
Bohinj;Stanovanjske stavbe;2011;10
Bohinj;Stanovanjske stavbe;2012;5
Bohinj;Stanovanjske stavbe;2013;9
Bohinj;Stanovanjske stavbe;2014;5
Bohinj;Stanovanjske stavbe;2015;9
Bohinj;Stanovanjske stavbe;2016;7
Bohinj;Stanovanjske stavbe;2017;11
Bohinj;Stanovanjske stavbe;2018;15
Bohinj;Stanovanjske stavbe;2019;4
Bohinj;Stanovanjske stavbe;2020;9
Bohinj;Nestanovanjske stavbe;2007;3
Bohinj;Nestanovanjske stavbe;2008;12
Bohinj;Nestanovanjske stavbe;2009;2
Bohinj;Nestanovanjske stavbe;2010;4
Bohinj;Nestanovanjske stavbe;2011;6
Bohinj;Nestanovanjske stavbe;2012;6
Bohinj;Nestanovanjske stavbe;2013;3
Bohinj;Nestanovanjske stavbe;2014;1
Bohinj;Nestanovanjske stavbe;2015;6
Bohinj;Nestanovanjske stavbe;2016;11
Bohinj;Nestanovanjske stavbe;2017;17
Bohinj;Nestanovanjske stavbe;2018;20
Bohinj;Nestanovanjske stavbe;2019;12
Bohinj;Nestanovanjske stavbe;2020;5
Borovnica;Stanovanjske stavbe;2007;9
Borovnica;Stanovanjske stavbe;2008;10
Borovnica;Stanovanjske stavbe;2009;22
Borovnica;Stanovanjske stavbe;2010;3
Borovnica;Stanovanjske stavbe;2011;11
Borovnica;Stanovanjske stavbe;2012;7
Borovnica;Stanovanjske stavbe;2013;7
Borovnica;Stanovanjske stavbe;2014;6
Borovnica;Stanovanjske stavbe;2015;2
Borovnica;Stanovanjske stavbe;2016;6
Borovnica;Stanovanjske stavbe;2017;6
Borovnica;Stanovanjske stavbe;2018;0
Borovnica;Stanovanjske stavbe;2019;2
Borovnica;Stanovanjske stavbe;2020;5
Borovnica;Nestanovanjske stavbe;2007;1
Borovnica;Nestanovanjske stavbe;2008;1
Borovnica;Nestanovanjske stavbe;2009;1
Borovnica;Nestanovanjske stavbe;2010;0
Borovnica;Nestanovanjske stavbe;2011;0
Borovnica;Nestanovanjske stavbe;2012;0
Borovnica;Nestanovanjske stavbe;2013;2
Borovnica;Nestanovanjske stavbe;2014;1
Borovnica;Nestanovanjske stavbe;2015;0
Borovnica;Nestanovanjske stavbe;2016;4
Borovnica;Nestanovanjske stavbe;2017;1
Borovnica;Nestanovanjske stavbe;2018;0
Borovnica;Nestanovanjske stavbe;2019;3
Borovnica;Nestanovanjske stavbe;2020;3
Bovec;Stanovanjske stavbe;2007;11
Bovec;Stanovanjske stavbe;2008;8
Bovec;Stanovanjske stavbe;2009;8
Bovec;Stanovanjske stavbe;2010;8
Bovec;Stanovanjske stavbe;2011;4
Bovec;Stanovanjske stavbe;2012;4
Bovec;Stanovanjske stavbe;2013;11
Bovec;Stanovanjske stavbe;2014;2
Bovec;Stanovanjske stavbe;2015;6
Bovec;Stanovanjske stavbe;2016;4
Bovec;Stanovanjske stavbe;2017;3
Bovec;Stanovanjske stavbe;2018;5
Bovec;Stanovanjske stavbe;2019;4
Bovec;Stanovanjske stavbe;2020;7
Bovec;Nestanovanjske stavbe;2007;9
Bovec;Nestanovanjske stavbe;2008;2
Bovec;Nestanovanjske stavbe;2009;8
Bovec;Nestanovanjske stavbe;2010;2
Bovec;Nestanovanjske stavbe;2011;7
Bovec;Nestanovanjske stavbe;2012;4
Bovec;Nestanovanjske stavbe;2013;1
Bovec;Nestanovanjske stavbe;2014;8
Bovec;Nestanovanjske stavbe;2015;14
Bovec;Nestanovanjske stavbe;2016;12
Bovec;Nestanovanjske stavbe;2017;6
Bovec;Nestanovanjske stavbe;2018;4
Bovec;Nestanovanjske stavbe;2019;7
Bovec;Nestanovanjske stavbe;2020;10
Braslovce;Stanovanjske stavbe;2007;24
Braslovce;Stanovanjske stavbe;2008;13
Braslovce;Stanovanjske stavbe;2009;15
Braslovce;Stanovanjske stavbe;2010;18
