"OBÈINE";"TIP.STAVBE";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Radovljica";"Stanovanjske stavbe";62;45;21;26;33;24;23;23;23;22;30;35;25;28
"Radovljica";"Nestanovanjske stavbe";12;6;4;4;5;9;1;0;4;17;15;20;9;17
"Ravne na Koroškem";"Stanovanjske stavbe";11;7;12;12;7;6;11;14;16;15;8;9;5;10
"Ravne na Koroškem";"Nestanovanjske stavbe";8;6;10;3;12;9;5;2;10;8;9;6;2;2
"Razkrižje";"Stanovanjske stavbe";9;3;3;3;1;0;1;1;1;5;1;0;1;3
"Razkrižje";"Nestanovanjske stavbe";2;0;1;0;0;0;0;0;10;3;2;4;1;7
"Reèica ob Savinji";"Stanovanjske stavbe";1;3;0;3;5;3;2;4;1;3;2;3;1;1
"Reèica ob Savinji";"Nestanovanjske stavbe";1;0;1;2;0;2;0;0;1;10;11;10;6;6
"Renèe - Vogrsko";"Stanovanjske stavbe";10;30;10;7;7;6;4;6;13;5;4;12;12;2
"Renèe - Vogrsko";"Nestanovanjske stavbe";2;2;1;1;0;0;2;0;8;6;5;8;8;0
"Ribnica";"Stanovanjske stavbe";18;16;17;12;27;18;11;8;14;12;16;22;14;9
"Ribnica";"Nestanovanjske stavbe";8;9;8;13;11;3;10;11;49;33;48;35;29;32
"Ribnica na Pohorju";"Stanovanjske stavbe";2;0;4;1;0;3;1;2;3;0;2;3;1;1
"Ribnica na Pohorju";"Nestanovanjske stavbe";2;0;5;1;0;0;0;1;0;5;11;7;11;1
"Rogaška Slatina";"Stanovanjske stavbe";22;26;47;42;41;21;19;28;25;29;37;29;58;23
"Rogaška Slatina";"Nestanovanjske stavbe";14;19;12;12;5;21;10;7;35;45;45;33;39;30
"Rogašovci";"Stanovanjske stavbe";6;6;3;6;7;6;9;7;6;8;7;4;6;7
"Rogašovci";"Nestanovanjske stavbe";2;1;4;3;3;2;1;3;10;12;10;8;13;8
"Rogatec";"Stanovanjske stavbe";7;6;2;5;1;4;6;2;3;8;3;8;4;4
"Rogatec";"Nestanovanjske stavbe";2;6;3;5;3;0;0;1;17;9;12;3;9;5
"Ruše";"Stanovanjske stavbe";43;32;12;13;13;10;6;2;14;5;1;1;6;5
"Ruše";"Nestanovanjske stavbe";1;6;2;3;3;2;6;1;4;5;7;6;13;13
"Selnica ob Dravi";"Stanovanjske stavbe";16;17;6;9;13;5;13;10;6;2;5;3;7;0
"Selnica ob Dravi";"Nestanovanjske stavbe";5;5;6;2;3;2;1;0;2;8;7;6;13;5
"Semiè";"Stanovanjske stavbe";6;7;8;3;10;3;6;4;7;5;7;7;8;2
"Semiè";"Nestanovanjske stavbe";20;11;9;8;9;2;10;9;10;23;28;23;17;17
"Sevnica";"Stanovanjske stavbe";35;61;30;36;29;28;35;38;30;20;19;37;15;18
"Sevnica";"Nestanovanjske stavbe";26;32;30;33;32;17;19;24;8;129;137;174;68;41
"Sežana";"Stanovanjske stavbe";50;37;35;34;18;20;14;11;27;27;22;19;10;7
"Sežana";"Nestanovanjske stavbe";9;10;10;5;2;5;3;1;3;20;34;20;4;14
"Slovenj Gradec";"Stanovanjske stavbe";39;27;16;25;14;21;20;18;12;8;22;17;22;29
"Slovenj Gradec";"Nestanovanjske stavbe";19;12;7;11;6;6;3;4;27;42;21;47;23;50
"Slovenska Bistrica";"Stanovanjske stavbe";122;105;85;61;64;55;52;38;26;54;57;43;77;50
"Slovenska Bistrica";"Nestanovanjske stavbe";27;36;26;14;19;18;23;11;108;124;115;106;101;92
"Slovenske Konjice";"Stanovanjske stavbe";46;49;48;25;30;36;25;19;14;20;18;29;21;20
"Slovenske Konjice";"Nestanovanjske stavbe";17;18;7;7;10;13;12;6;6;63;48;50;63;43
"Sodražica";"Stanovanjske stavbe";11;5;7;3;5;5;5;6;1;7;5;4;3;5
"Sodražica";"Nestanovanjske stavbe";4;2;0;3;5;4;2;1;15;13;16;12;9;12
"Solèava";"Stanovanjske stavbe";0;1;0;0;1;0;1;1;2;0;1;2;2;2
"Solèava";"Nestanovanjske stavbe";0;0;0;0;2;0;0;1;3;2;1;2;1;1
"Središèe ob Dravi";"Stanovanjske stavbe";0;3;2;0;2;1;4;5;2;2;2;3;0;3
"Središèe ob Dravi";"Nestanovanjske stavbe";2;0;2;0;1;3;2;1;10;12;13;12;5;3
"Starše";"Stanovanjske stavbe";15;16;7;6;9;7;7;11;8;9;9;13;11;13
"Starše";"Nestanovanjske stavbe";2;2;2;3;2;1;2;4;1;6;7;5;20;9
"Straža";"Stanovanjske stavbe";6;0;3;2;3;1;5;12;9;7;11;2;7;11
"Straža";"Nestanovanjske stavbe";7;2;0;2;6;4;5;4;19;14;25;8;17;14
"Sveta Ana";"Stanovanjske stavbe";8;9;10;13;8;4;9;8;8;13;7;9;9;4
"Sveta Ana";"Nestanovanjske stavbe";3;8;2;6;5;4;7;3;2;31;29;18;17;29
"Sveta Trojica v Slov. goricah";"Stanovanjske stavbe";9;8;8;6;7;7;4;5;13;9;31;11;12;21
"Sveta Trojica v Slov. goricah";"Nestanovanjske stavbe";3;1;5;3;4;1;2;1;2;9;11;16;14;15
"Sveti Andraž v Slov. goricah";"Stanovanjske stavbe";0;8;0;0;2;1;2;2;2;6;4;6;3;2
"Sveti Andraž v Slov. goricah";"Nestanovanjske stavbe";0;1;0;0;0;0;0;0;0;11;4;3;3;9
"Sveti Jurij ob Šèavnici";"Stanovanjske stavbe";11;7;9;7;10;3;10;9;10;5;7;4;8;11
"Sveti Jurij ob Šèavnici";"Nestanovanjske stavbe";5;3;4;6;5;4;2;3;20;31;28;35;37;30
"Sveti Jurij v Slov. goricah";"Stanovanjske stavbe";7;8;7;11;10;5;4;3;4;3;3;8;9;8
"Sveti Jurij v Slov. goricah";"Nestanovanjske stavbe";1;1;1;3;2;0;1;3;0;12;15;5;32;14
"Sveti Tomaž";"Stanovanjske stavbe";5;6;7;3;3;6;3;5;5;4;7;3;3;3
"Sveti Tomaž";"Nestanovanjske stavbe";0;1;1;3;4;0;0;1;13;6;6;3;16;2
"Šalovci";"Stanovanjske stavbe";4;8;2;0;1;2;0;5;3;6;2;2;1;0
"Šalovci";"Nestanovanjske stavbe";3;1;0;0;3;0;2;0;2;3;4;8;3;7
"Šempeter - Vrtojba";"Stanovanjske stavbe";8;11;10;2;5;4;7;4;7;6;7;6;1;0
"Šempeter - Vrtojba";"Nestanovanjske stavbe";4;6;8;3;1;2;0;0;12;8;4;2;9;1
"Šenèur";"Stanovanjske stavbe";24;25;16;15;9;14;13;10;6;11;14;13;10;11
"Šenèur";"Nestanovanjske stavbe";5;8;1;4;1;2;4;3;1;3;3;3;5;6
"Šentilj";"Stanovanjske stavbe";39;35;36;30;13;18;17;9;9;10;16;19;19;19
"Šentilj";"Nestanovanjske stavbe";4;5;0;3;0;1;2;3;5;5;2;2;7;2
"Šentjernej";"Stanovanjske stavbe";9;9;7;15;20;17;25;24;28;19;23;15;15;18
"Šentjernej";"Nestanovanjske stavbe";9;5;7;13;15;7;8;29;37;59;50;34;57;25
"Šentjur";"Stanovanjske stavbe";64;53;55;46;37;31;37;42;52;31;32;33;38;28
"Šentjur";"Nestanovanjske stavbe";13;12;12;12;13;11;9;12;17;46;38;38;64;48
"Šentrupert";"Stanovanjske stavbe";3;5;7;8;5;12;6;18;19;4;5;6;6;4
"Šentrupert";"Nestanovanjske stavbe";5;7;8;10;8;10;15;9;9;4;4;18;19;18
"Škocjan";"Stanovanjske stavbe";9;2;4;5;4;11;6;7;9;9;9;7;7;14
"Škocjan";"Nestanovanjske stavbe";4;3;4;2;3;6;8;7;21;30;35;29;22;29
"Škofja Loka";"Stanovanjske stavbe";77;62;79;32;42;44;31;30;37;25;33;41;25;15
"Škofja Loka";"Nestanovanjske stavbe";13;19;13;18;17;5;5;8;6;25;20;22;13;6
"Škofljica";"Stanovanjske stavbe";51;20;23;9;23;17;16;18;8;16;11;5;19;6
"Škofljica";"Nestanovanjske stavbe";0;0;1;2;1;0;0;0;0;0;5;2;6;1
"Šmarje pri Jelšah";"Stanovanjske stavbe";31;37;28;34;29;28;16;8;19;21;19;30;14;21
"Šmarje pri Jelšah";"Nestanovanjske stavbe";14;11;11;10;11;10;9;7;63;71;77;66;62;37
"Šmarješke Toplice";"Stanovanjske stavbe";12;5;3;3;6;3;10;13;14;5;5;5;3;2
"Šmarješke Toplice";"Nestanovanjske stavbe";6;4;2;8;3;4;4;11;33;35;22;25;17;25
"Šmartno ob Paki";"Stanovanjske stavbe";15;23;15;16;6;12;5;6;18;6;6;3;13;6
"Šmartno ob Paki";"Nestanovanjske stavbe";0;1;1;0;0;0;0;3;20;17;25;15;16;9
"Šmartno pri Litiji";"Stanovanjske stavbe";15;22;18;8;19;6;7;12;8;10;3;6;5;2
"Šmartno pri Litiji";"Nestanovanjske stavbe";2;1;2;4;1;0;5;1;20;11;8;11;6;7
"Šoštanj";"Stanovanjske stavbe";20;29;20;11;17;14;17;10;15;6;5;10;8;12
"Šoštanj";"Nestanovanjske stavbe";1;2;3;0;1;2;5;1;30;60;37;47;31;28
"Štore";"Stanovanjske stavbe";6;5;6;4;3;1;7;1;1;3;5;5;4;0
"Štore";"Nestanovanjske stavbe";0;0;0;0;0;0;0;0;0;3;9;9;4;4
"Tabor";"Stanovanjske stavbe";16;29;10;1;5;3;2;2;2;1;4;1;5;8
"Tabor";"Nestanovanjske stavbe";1;0;0;0;0;0;0;0;1;1;1;2;2;11
"Tišina";"Stanovanjske stavbe";17;8;8;9;8;5;7;10;2;9;10;7;10;2
"Tišina";"Nestanovanjske stavbe";4;3;4;8;0;5;3;3;6;9;13;16;17;19
"Tolmin";"Stanovanjske stavbe";14;17;11;9;20;8;22;16;7;13;9;11;5;11
"Tolmin";"Nestanovanjske stavbe";11;9;8;3;9;8;15;10;42;38;19;18;15;20
"Trbovlje";"Stanovanjske stavbe";8;6;5;4;1;4;3;8;6;4;8;4;1;8
"Trbovlje";"Nestanovanjske stavbe";10;5;5;6;1;3;2;0;11;7;1;1;3;11
"Trebnje";"Stanovanjske stavbe";66;52;38;32;21;21;33;34;32;27;29;28;31;37
"Trebnje";"Nestanovanjske stavbe";28;30;53;34;46;29;29;22;19;14;35;66;75;68
"Trnovska vas";"Stanovanjske stavbe";0;5;5;3;1;1;3;2;6;9;1;5;4;6
"Trnovska vas";"Nestanovanjske stavbe";0;1;1;0;1;0;0;1;1;1;3;1;1;2
"Trzin";"Stanovanjske stavbe";2;3;5;2;2;5;6;0;4;8;6;0;3;2
"Trzin";"Nestanovanjske stavbe";1;1;1;1;0;0;0;0;0;1;4;0;5;3
"Tržiè";"Stanovanjske stavbe";18;13;18;10;12;20;15;7;10;6;11;7;3;5
"Tržiè";"Nestanovanjske stavbe";1;0;1;0;0;0;0;3;13;16;8;10;0;5
"Turnišèe";"Stanovanjske stavbe";7;3;10;8;7;9;5;5;3;3;6;5;5;2
"Turnišèe";"Nestanovanjske stavbe";2;2;2;2;4;0;5;1;18;15;22;7;12;9
"Velenje";"Stanovanjske stavbe";41;20;40;21;32;9;17;16;17;24;14;28;25;29
"Velenje";"Nestanovanjske stavbe";3;8;10;6;8;3;5;3;53;77;83;95;50;60
"Velika Polana";"Stanovanjske stavbe";3;5;2;5;3;3;2;4;5;4;3;2;0;1
"Velika Polana";"Nestanovanjske stavbe";2;0;3;0;1;1;1;0;8;5;15;5;11;7
"Velike Lašèe";"Stanovanjske stavbe";9;4;5;3;6;7;11;9;8;7;7;6;14;12
"Velike Lašèe";"Nestanovanjske stavbe";0;0;0;1;2;0;1;1;3;0;3;2;7;2
"Veržej";"Stanovanjske stavbe";1;3;2;6;3;4;2;3;1;6;6;5;2;6
"Veržej";"Nestanovanjske stavbe";3;1;0;1;1;1;1;0;6;7;9;5;7;10
"Videm";"Stanovanjske stavbe";8;29;8;3;2;4;6;15;10;22;20;15;22;16
"Videm";"Nestanovanjske stavbe";0;2;1;0;0;1;1;2;3;19;6;6;5;9
"Vipava";"Stanovanjske stavbe";13;7;18;28;13;10;12;8;15;8;9;6;7;5
"Vipava";"Nestanovanjske stavbe";4;4;9;3;10;4;5;7;18;23;14;8;7;14
"Vitanje";"Stanovanjske stavbe";3;5;8;1;3;4;0;1;2;3;2;3;0;1
"Vitanje";"Nestanovanjske stavbe";3;2;3;4;1;0;3;1;3;17;4;15;5;4
"Vodice";"Stanovanjske stavbe";46;33;20;8;20;14;9;11;19;15;17;5;16;10
"Vodice";"Nestanovanjske stavbe";1;1;1;0;2;1;1;0;0;7;3;0;8;5
"Vojnik";"Stanovanjske stavbe";41;58;25;18;11;8;9;18;15;20;22;13;18;9
"Vojnik";"Nestanovanjske stavbe";5;5;1;6;0;0;1;0;1;12;24;14;29;31
"Vransko";"Stanovanjske stavbe";22;3;6;4;3;9;3;4;5;3;9;4;3;3
"Vransko";"Nestanovanjske stavbe";3;1;2;1;2;0;0;1;3;1;1;3;6;5
"Vrhnika";"Stanovanjske stavbe";92;45;43;37;45;65;40;37;15;93;33;28;26;32
"Vrhnika";"Nestanovanjske stavbe";6;5;5;5;4;2;4;3;3;14;13;21;4;14
"Vuzenica";"Stanovanjske stavbe";5;3;2;4;1;3;10;3;4;5;3;5;1;2
"Vuzenica";"Nestanovanjske stavbe";4;0;0;0;0;1;2;3;2;2;17;4;7;7
"Zagorje ob Savi";"Stanovanjske stavbe";22;23;13;10;11;19;17;13;8;11;3;10;7;5
"Zagorje ob Savi";"Nestanovanjske stavbe";6;1;4;9;4;0;7;2;12;7;2;5;1;1
"Zavrè";"Stanovanjske stavbe";0;2;2;2;1;1;2;1;3;6;7;4;2;0
"Zavrè";"Nestanovanjske stavbe";0;1;1;0;0;2;0;1;0;6;4;2;3;0
"Zreèe";"Stanovanjske stavbe";15;12;10;7;24;11;15;4;7;4;5;6;9;11
"Zreèe";"Nestanovanjske stavbe";8;5;5;1;7;2;1;2;3;24;22;16;24;16
"Žalec";"Stanovanjske stavbe";26;29;20;19;19;11;18;29;20;17;14;22;26;36
"Žalec";"Nestanovanjske stavbe";8;6;2;4;4;2;7;11;12;15;16;11;28;34
"Železniki";"Stanovanjske stavbe";17;12;13;10;4;9;7;10;6;7;11;7;8;6
"Železniki";"Nestanovanjske stavbe";1;3;3;4;5;2;6;3;6;10;16;10;7;4
"Žetale";"Stanovanjske stavbe";0;1;1;0;0;0;5;4;5;3;3;3;0;1
"Žetale";"Nestanovanjske stavbe";2;1;1;0;0;0;3;2;1;2;1;1;1;1
"Žiri";"Stanovanjske stavbe";15;22;20;13;16;16;12;12;10;9;6;8;4;7
"Žiri";"Nestanovanjske stavbe";3;6;2;2;5;6;3;1;3;7;8;8;3;5
"Žirovnica";"Stanovanjske stavbe";22;10;12;11;10;8;7;4;2;8;5;7;9;8
"Žirovnica";"Nestanovanjske stavbe";0;0;3;1;2;1;2;3;2;11;4;7;2;5
"Žužemberk";"Stanovanjske stavbe";7;9;3;4;10;12;7;13;19;14;11;12;5;11
"Žužemberk";"Nestanovanjske stavbe";7;6;2;7;6;3;3;5;29;47;33;26;30;24
