"OBÈINE";"TIP.STAVBE";"Leto";"Število.gradbenih.dovoljenj"
"Beltinci";"Nestanovanjske stavbe";"2018";26
"Beltinci";"Nestanovanjske stavbe";"2019";29
"Beltinci";"Nestanovanjske stavbe";"2020";38
"Benedikt";"Stanovanjske stavbe";"2007";11
"Benedikt";"Stanovanjske stavbe";"2008";12
"Benedikt";"Stanovanjske stavbe";"2009";6
"Benedikt";"Stanovanjske stavbe";"2010";9
"Benedikt";"Stanovanjske stavbe";"2011";7
"Benedikt";"Stanovanjske stavbe";"2012";3
"Benedikt";"Stanovanjske stavbe";"2013";16
"Benedikt";"Stanovanjske stavbe";"2014";10
"Benedikt";"Stanovanjske stavbe";"2015";13
"Benedikt";"Stanovanjske stavbe";"2016";15
"Benedikt";"Stanovanjske stavbe";"2017";14
"Benedikt";"Stanovanjske stavbe";"2018";7
"Benedikt";"Stanovanjske stavbe";"2019";15
"Benedikt";"Stanovanjske stavbe";"2020";13
"Benedikt";"Nestanovanjske stavbe";"2007";3
"Benedikt";"Nestanovanjske stavbe";"2008";2
"Benedikt";"Nestanovanjske stavbe";"2009";1
"Benedikt";"Nestanovanjske stavbe";"2010";3
"Benedikt";"Nestanovanjske stavbe";"2011";5
"Benedikt";"Nestanovanjske stavbe";"2012";3
"Benedikt";"Nestanovanjske stavbe";"2013";4
"Benedikt";"Nestanovanjske stavbe";"2014";3
"Benedikt";"Nestanovanjske stavbe";"2015";2
"Benedikt";"Nestanovanjske stavbe";"2016";17
"Benedikt";"Nestanovanjske stavbe";"2017";11
"Benedikt";"Nestanovanjske stavbe";"2018";20
"Benedikt";"Nestanovanjske stavbe";"2019";23
"Benedikt";"Nestanovanjske stavbe";"2020";26
"Bistrica ob Sotli";"Stanovanjske stavbe";"2007";3
"Bistrica ob Sotli";"Stanovanjske stavbe";"2008";4
"Bistrica ob Sotli";"Stanovanjske stavbe";"2009";1
"Bistrica ob Sotli";"Stanovanjske stavbe";"2010";2
"Bistrica ob Sotli";"Stanovanjske stavbe";"2011";5
"Bistrica ob Sotli";"Stanovanjske stavbe";"2012";8
"Bistrica ob Sotli";"Stanovanjske stavbe";"2013";4
"Bistrica ob Sotli";"Stanovanjske stavbe";"2014";1
"Bistrica ob Sotli";"Stanovanjske stavbe";"2015";0
"Bistrica ob Sotli";"Stanovanjske stavbe";"2016";1
"Bistrica ob Sotli";"Stanovanjske stavbe";"2017";1
"Bistrica ob Sotli";"Stanovanjske stavbe";"2018";4
"Bistrica ob Sotli";"Stanovanjske stavbe";"2019";4
"Bistrica ob Sotli";"Stanovanjske stavbe";"2020";0
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2007";1
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2008";1
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2009";3
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2010";3
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2011";2
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2012";4
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2013";2
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2014";0
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2015";5
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2016";2
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2017";10
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2018";2
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2019";4
"Bistrica ob Sotli";"Nestanovanjske stavbe";"2020";4
"Bled";"Stanovanjske stavbe";"2007";21
"Bled";"Stanovanjske stavbe";"2008";2
"Bled";"Stanovanjske stavbe";"2009";9
"Bled";"Stanovanjske stavbe";"2010";4
"Bled";"Stanovanjske stavbe";"2011";13
"Bled";"Stanovanjske stavbe";"2012";14
"Bled";"Stanovanjske stavbe";"2013";13
"Bled";"Stanovanjske stavbe";"2014";6
"Bled";"Stanovanjske stavbe";"2015";12
"Bled";"Stanovanjske stavbe";"2016";10
"Bled";"Stanovanjske stavbe";"2017";8
"Bled";"Stanovanjske stavbe";"2018";18
"Bled";"Stanovanjske stavbe";"2019";11
"Bled";"Stanovanjske stavbe";"2020";10
"Bled";"Nestanovanjske stavbe";"2007";6
"Bled";"Nestanovanjske stavbe";"2008";7
"Bled";"Nestanovanjske stavbe";"2009";1
"Bled";"Nestanovanjske stavbe";"2010";2
"Bled";"Nestanovanjske stavbe";"2011";2
"Bled";"Nestanovanjske stavbe";"2012";0
"Bled";"Nestanovanjske stavbe";"2013";1
"Bled";"Nestanovanjske stavbe";"2014";0
"Bled";"Nestanovanjske stavbe";"2015";3
"Bled";"Nestanovanjske stavbe";"2016";8
"Bled";"Nestanovanjske stavbe";"2017";2
"Bled";"Nestanovanjske stavbe";"2018";15
"Bled";"Nestanovanjske stavbe";"2019";6
"Bled";"Nestanovanjske stavbe";"2020";4
"Bloke";"Stanovanjske stavbe";"2007";6
"Bloke";"Stanovanjske stavbe";"2008";7
"Bloke";"Stanovanjske stavbe";"2009";8
"Bloke";"Stanovanjske stavbe";"2010";5
"Bloke";"Stanovanjske stavbe";"2011";1
"Bloke";"Stanovanjske stavbe";"2012";3
"Bloke";"Stanovanjske stavbe";"2013";4
